1,1,1,ふだんのかみ♂,ふだんどおりのかみ,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,Pet_default_man_petHair
2,1,1,ふだんのかみ♀,ふだんどおりのかみ,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,Pet_default_woman_petHair
3,1,1,やんきーヘッド,ツンツンです。ツンツン。,1,600,1,2,8,0,0,0,0,0,0,0,0,0,0,Pet_rank_8_petHair
4,1,1,おじいちゃんのかみ,老いてなおふさふさなのはクイズが秘訣。,1,1000,2,4,2592000,0,0,0,0,0,0,0,0,0,0,Pet_spend_man_petHair
5,1,1,おばあちゃんのかみ,その優しさですべてを包み込む。,1,1000,2,4,2592000,0,0,0,0,0,0,0,0,0,0,Pet_spend_woman_petHair
6,1,1,だいふごうロール,縦ロールと冠にすごくお金がかかっているそうだ。,1,3000,5,16,5000,0,0,0,0,0,0,0,0,0,0,Pet_gold_10000_woman_petHair
101,2,1,ふだんのアクセ♂,ふだんどおりのアクセ,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,Pet_default_man_petHairAcce
102,2,1,ふだんのアクセ♀,ふだんどおりのアクセ,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,Pet_default_woman_petHairAcce
103,2,1,はなまる,たいへんよくできました。,2,50,1,2,2,0,0,0,0,0,0,0,0,0,0,Pet_rank_2_petHairAcce
104,2,1,きねんはちまき,祝！ランク5！！,2,300,1,2,5,0,0,0,0,0,0,0,0,0,0,Pet_rank_5_petHairAcce
105,2,1,シルクハット,紳士のためのハット。とっても高価。,1,3000,5,2,10,0,0,0,0,0,0,0,0,0,0,Pet_rank_10_petHairAcce
106,2,1,ファラオずきん,これをかぶると古代エジプトの王になったような気分にひたれる。,1,600,1,8,20,0,0,0,0,0,0,0,0,0,0,Pet_history_petHairAcce
107,2,1,レンジャーハット,軽量かつ衝撃を吸収する能力を高次元で実現した最新の帽子。,1,600,1,9,20,0,0,0,0,0,0,0,0,0,0,Pet_geography_petHairAcce
